fecha,vel_viento,presion_atmosferica,humedad_relativa,frentes_frios,radiacion_solar,luminosidad,contaminacion_atmosferica,cobertura_nubosa,temperatura
2018-03-14,30.0,1059.0,88.0,0,381.0,5.0,441.0,51.0,19.0
2018-03-15,28.0,1033.0,88.0,0,230.0,13.0,207.0,51.0,25.0
2018-03-16,30.0,978.0,94.0,1,502.0,76.0,33.0,43.0,18.0
2018-03-17,38.0,1018.0,39.0,0,741.0,82.0,60.0,32.0,27.0
2018-03-18,37.0,1052.0,54.0,0,259.0,88.0,75.0,53.0,24.0
2018-03-19,26.0,1075.0,33.0,1,113.0,52.0,121.0,41.0,17.0
2018-03-20,29.0,980.0,63.0,0,218.0,78.0,155.0,57.0,25.0
2018-03-21,38.0,1061.0,91.0,1,550.0,77.0,453.0,42.0,36.0
2018-03-22,38.0,943.0,96.0,0,508.0,98.0,259.0,73.0,12.0
2018-03-23,27.0,971.0,48.0,1,728.0,43.0,318.0,54.0,12.0
2018-03-24,36.0,949.0,41.0,0,843.0,61.0,484.0,62.0,15.0
2018-03-25,37.0,930.0,68.0,1,343.0,58.0,233.0,47.0,5.0
2018-03-26,25.0,969.0,22.0,0,733.0,48.0,344.0,54.0,15.0
2018-03-27,35.0,1036.0,82.0,1,954.0,74.0,395.0,64.0,29.0
2018-03-28,37.0,982.0,89.0,0,284.0,6.0,439.0,72.0,22.0
2018-03-29,35.0,961.0,26.0,0,940.0,88.0,346.0,41.0,25.0
2018-03-30,32.0,979.0,71.0,0,997.0,95.0,215.0,36.0,25.0
2018-03-31,37.0,970.0,46.0,1,469.0,62.0,295.0,50.0,11.0
2018-04-01,23.0,1004.0,83.0,0,973.0,43.0,29.0,37.0,32.0
2018-04-02,37.0,965.0,52.0,0,660.0,28.0,360.0,53.0,28.0
2018-04-03,20.0,1078.0,43.0,0,274.0,98.0,360.0,43.0,34.0
2018-04-04,27.0,1003.0,46.0,1,483.0,92.0,64.0,58.0,28.0
2018-04-05,32.0,958.0,96.0,1,216.0,35.0,216.0,44.0,21.0
2018-04-06,23.0,1012.0,53.0,0,171.0,82.0,167.0,57.0,24.0
2018-04-07,19.0,1067.0,66.0,0,315.0,40.0,62.0,73.0,31.0
2018-04-08,19.0,1047.0,40.0,0,870.0,77.0,328.0,30.0,30.0
2018-04-09,21.0,1083.0,65.0,1,425.0,21.0,265.0,56.0,24.0
2018-04-10,22.0,1055.0,84.0,0,406.0,5.0,25.0,57.0,32.0
2018-04-11,25.0,1059.0,45.0,1,497.0,58.0,438.0,38.0,28.0
2018-04-12,26.0,1049.0,79.0,0,611.0,44.0,77.0,51.0,25.0
2018-04-13,28.0,987.0,55.0,1,708.0,13.0,185.0,57.0,17.0
2018-04-14,27.0,990.0,71.0,0,682.0,96.0,110.0,41.0,25.0
2018-04-15,17.0,1097.0,23.0,1,408.0,42.0,272.0,49.0,28.0
2018-04-16,31.0,1005.0,80.0,1,788.0,47.0,45.0,49.0,31.0
2018-04-17,21.0,1049.0,67.0,0,175.0,26.0,182.0,36.0,27.0
2018-04-18,17.0,914.0,40.0,1,822.0,10.0,226.0,45.0,19.0
2018-04-19,27.0,964.0,44.0,0,550.0,66.0,237.0,64.0,28.0
2018-04-20,24.0,988.0,71.0,0,138.0,47.0,354.0,40.0,33.0
2018-04-21,22.0,984.0,74.0,1,459.0,86.0,276.0,42.0,16.0
2018-04-22,22.0,1055.0,38.0,1,838.0,3.0,44.0,56.0,21.0
2018-04-23,30.0,1054.0,23.0,0,345.0,28.0,95.0,40.0,28.0
2018-04-24,25.0,938.0,74.0,1,262.0,89.0,472.0,53.0,23.0
2018-04-25,24.0,950.0,44.0,0,611.0,84.0,498.0,58.0,32.0
2018-04-26,26.0,1033.0,67.0,0,370.0,91.0,81.0,34.0,18.0
2018-04-27,18.0,977.0,23.0,0,861.0,55.0,30.0,58.0,29.0
2018-04-28,25.0,984.0,58.0,0,990.0,74.0,209.0,53.0,32.0
2018-04-29,24.0,996.0,64.0,0,501.0,69.0,223.0,58.0,20.0
2018-04-30,29.0,972.0,96.0,0,299.0,26.0,269.0,62.0,18.0
2018-05-01,26.0,1020.0,96.0,1,937.0,11.0,246.0,55.0,24.0
2018-05-02,34.0,1050.0,29.0,1,272.0,17.0,130.0,45.0,25.0
2018-05-03,28.0,1059.0,65.0,0,607.0,10.0,89.0,57.0,29.0
2018-05-04,26.0,1069.0,99.0,0,861.0,84.0,499.0,42.0,37.0
2018-05-05,22.0,1085.0,33.0,0,472.0,83.0,468.0,51.0,29.0
2018-05-06,19.0,968.0,75.0,0,181.0,43.0,410.0,50.0,24.0
2018-05-07,20.0,947.0,49.0,0,788.0,49.0,17.0,49.0,24.0
2018-05-08,34.0,1030.0,36.0,0,707.0,69.0,36.0,37.0,27.0
2018-05-09,28.0,974.0,73.0,0,287.0,22.0,118.0,36.0,31.0
2018-05-10,23.0,1025.0,99.0,0,318.0,12.0,271.0,52.0,28.0
2018-05-11,31.0,1055.0,20.0,0,150.0,79.0,350.0,47.0,33.0
2018-05-12,15.0,955.0,62.0,0,737.0,72.0,129.0,59.0,31.0
2018-05-13,21.0,973.0,93.0,1,768.0,2.0,188.0,53.0,17.0
2018-05-14,24.0,957.0,24.0,1,403.0,93.0,266.0,30.0,19.0
2018-05-15,12.0,1001.0,68.0,1,965.0,1.0,92.0,36.0,27.0
2018-05-16,33.0,995.0,81.0,1,970.0,19.0,449.0,51.0,29.0
2018-05-17,32.0,960.0,69.0,1,308.0,50.0,345.0,31.0,18.0
2018-05-18,22.0,1128.0,60.0,0,980.0,39.0,323.0,64.0,23.0
2018-05-19,25.0,1008.0,30.0,0,851.0,25.0,309.0,61.0,30.0
2018-05-20,24.0,995.0,55.0,1,126.0,36.0,250.0,49.0,15.0
2018-05-21,32.0,1002.0,42.0,1,174.0,96.0,282.0,42.0,21.0
2018-05-22,29.0,953.0,76.0,1,916.0,8.0,118.0,63.0,21.0
2018-05-23,25.0,875.0,24.0,1,345.0,26.0,320.0,57.0,15.0
2018-05-24,37.0,971.0,95.0,1,135.0,29.0,317.0,50.0,20.0
2018-05-25,20.0,959.0,89.0,0,976.0,85.0,251.0,60.0,26.0
2018-05-26,23.0,1015.0,51.0,1,989.0,31.0,488.0,59.0,25.0
2018-05-27,28.0,1019.0,95.0,1,413.0,84.0,373.0,46.0,34.0
2018-05-28,27.0,997.0,92.0,0,180.0,83.0,13.0,64.0,26.0
2018-05-29,28.0,1011.0,45.0,1,752.0,94.0,178.0,55.0,18.0
2018-05-30,25.0,982.0,75.0,1,626.0,54.0,490.0,58.0,35.0
2018-05-31,30.0,949.0,74.0,1,221.0,100.0,186.0,62.0,21.0
2018-06-01,30.0,946.0,88.0,1,225.0,35.0,453.0,63.0,27.0
2018-06-02,30.0,1136.0,88.0,0,964.0,23.0,451.0,48.0,33.0
2018-06-03,26.0,1031.0,58.0,0,171.0,76.0,1.0,58.0,20.0
2018-06-04,31.0,1066.0,69.0,0,960.0,53.0,118.0,60.0,30.0
2018-06-05,22.0,966.0,51.0,1,711.0,17.0,438.0,66.0,20.0
2018-06-06,33.0,1032.0,51.0,0,184.0,73.0,458.0,55.0,30.0
2018-06-07,27.0,1101.0,43.0,0,711.0,69.0,485.0,48.0,31.0
2018-06-08,28.0,953.0,54.0,0,298.0,1.0,60.0,51.0,28.0
2018-06-09,18.0,970.0,63.0,0,300.0,37.0,409.0,60.0,25.0
2018-06-10,18.0,994.0,61.0,1,577.0,93.0,300.0,49.0,15.0
2018-06-11,19.0,1035.0,99.0,0,515.0,93.0,359.0,48.0,41.0
2018-06-12,32.0,987.0,92.0,0,891.0,47.0,45.0,58.0,29.0
2018-06-13,23.0,967.0,83.0,0,450.0,41.0,374.0,49.0,32.0
2018-06-14,21.0,973.0,34.0,1,913.0,35.0,499.0,51.0,21.0
2018-06-15,26.0,1041.0,47.0,1,500.0,93.0,341.0,47.0,29.0
2018-06-16,12.0,1100.0,85.0,1,861.0,53.0,213.0,49.0,22.0
2018-06-17,38.0,1038.0,85.0,0,367.0,33.0,97.0,42.0,28.0
2018-06-18,33.0,967.0,48.0,1,474.0,0.0,385.0,59.0,22.0
2018-06-19,25.0,937.0,47.0,1,769.0,45.0,395.0,45.0,18.0
2018-06-20,24.0,929.0,66.0,1,950.0,36.0,110.0,45.0,19.0
2018-06-21,28.0,1020.0,64.0,1,246.0,40.0,477.0,37.0,24.0
2018-06-22,27.0,991.0,56.0,0,122.0,83.0,61.0,48.0,31.0
2018-06-23,27.0,985.0,92.0,0,747.0,54.0,107.0,50.0,27.0
2018-06-24,25.0,948.0,23.0,0,407.0,36.0,252.0,64.0,27.0
2018-06-25,28.0,995.0,46.0,0,404.0,17.0,183.0,50.0,24.0
2018-06-26,26.0,935.0,61.0,0,509.0,82.0,111.0,55.0,23.0
2018-06-27,23.0,1040.0,73.0,1,473.0,55.0,244.0,63.0,29.0
2018-06-28,22.0,1016.0,38.0,0,845.0,92.0,298.0,38.0,23.0
2018-06-29,30.0,996.0,73.0,0,418.0,8.0,118.0,64.0,28.0
2018-06-30,25.0,991.0,58.0,1,264.0,65.0,448.0,37.0,26.0
2018-07-01,25.0,987.0,78.0,1,210.0,33.0,250.0,56.0,28.0
2018-07-02,21.0,960.0,37.0,1,911.0,72.0,406.0,47.0,25.0
2018-07-03,23.0,1073.0,87.0,0,156.0,80.0,376.0,59.0,39.0
2018-07-04,24.0,1060.0,85.0,0,971.0,50.0,484.0,48.0,28.0
2018-07-05,24.0,960.0,37.0,0,445.0,74.0,366.0,52.0,25.0
2018-07-06,27.0,1012.0,50.0,1,225.0,64.0,304.0,35.0,18.0
2018-07-07,26.0,979.0,25.0,1,660.0,71.0,333.0,71.0,13.0
2018-07-08,25.0,978.0,99.0,1,322.0,72.0,39.0,66.0,23.0
2018-07-09,24.0,1030.0,61.0,1,367.0,1.0,256.0,56.0,15.0
2018-07-10,24.0,1043.0,39.0,0,585.0,13.0,217.0,61.0,14.0
2018-07-11,30.0,1014.0,72.0,1,582.0,20.0,240.0,50.0,24.0
2018-07-12,25.0,1020.0,91.0,1,632.0,20.0,245.0,52.0,18.0
2018-07-13,34.0,925.0,93.0,0,809.0,44.0,74.0,35.0,23.0
2018-07-14,31.0,989.0,78.0,1,331.0,0.0,477.0,49.0,19.0
2018-07-15,20.0,997.0,29.0,0,322.0,85.0,389.0,53.0,28.0
2018-07-16,20.0,980.0,35.0,0,515.0,25.0,180.0,77.0,25.0
2018-07-17,36.0,1110.0,97.0,1,710.0,47.0,47.0,37.0,25.0
2018-07-18,20.0,1006.0,21.0,1,821.0,58.0,92.0,44.0,21.0
2018-07-19,14.0,922.0,95.0,1,162.0,40.0,352.0,46.0,20.0
2018-07-20,30.0,965.0,80.0,0,207.0,35.0,478.0,64.0,30.0
2018-07-21,36.0,968.0,74.0,1,541.0,27.0,243.0,41.0,25.0
2018-07-22,24.0,993.0,58.0,1,464.0,47.0,241.0,35.0,12.0
2018-07-23,27.0,943.0,29.0,1,760.0,98.0,472.0,59.0,31.0
2018-07-24,23.0,1063.0,91.0,1,776.0,67.0,152.0,51.0,18.0
2018-07-25,30.0,992.0,61.0,1,350.0,60.0,174.0,46.0,15.0
2018-07-26,30.0,1050.0,56.0,1,318.0,91.0,429.0,62.0,28.0
2018-07-27,8.0,987.0,90.0,0,820.0,48.0,256.0,41.0,26.0
2018-07-28,28.0,1010.0,93.0,0,905.0,16.0,75.0,49.0,26.0
2018-07-29,20.0,937.0,43.0,0,661.0,44.0,446.0,47.0,23.0
2018-07-30,31.0,1121.0,94.0,1,903.0,25.0,328.0,48.0,35.0
2018-07-31,19.0,1030.0,84.0,0,454.0,38.0,384.0,43.0,27.0
2018-08-01,26.0,950.0,25.0,1,918.0,32.0,24.0,32.0,15.0
2018-08-02,24.0,1009.0,100.0,1,677.0,31.0,172.0,34.0,12.0
2018-08-03,21.0,892.0,78.0,1,910.0,24.0,141.0,66.0,21.0
2018-08-04,18.0,954.0,91.0,1,550.0,25.0,351.0,40.0,21.0
2018-08-05,18.0,1009.0,60.0,0,825.0,96.0,287.0,41.0,29.0
2018-08-06,23.0,1064.0,77.0,1,923.0,7.0,489.0,38.0,22.0
2018-08-07,22.0,1016.0,51.0,1,469.0,88.0,460.0,47.0,24.0
2018-08-08,34.0,1012.0,54.0,0,392.0,52.0,484.0,50.0,23.0
2018-08-09,24.0,1134.0,84.0,0,926.0,74.0,215.0,57.0,33.0
2018-08-10,28.0,1055.0,80.0,1,785.0,93.0,468.0,72.0,27.0
2018-08-11,20.0,1036.0,97.0,0,930.0,86.0,228.0,61.0,30.0
2018-08-12,20.0,953.0,79.0,0,420.0,65.0,480.0,46.0,25.0
2018-08-13,21.0,978.0,96.0,1,226.0,46.0,193.0,42.0,18.0
2018-08-14,27.0,995.0,24.0,1,188.0,21.0,430.0,48.0,23.0
2018-08-15,22.0,939.0,24.0,1,653.0,76.0,201.0,63.0,21.0
2018-08-16,21.0,1006.0,77.0,1,554.0,43.0,309.0,58.0,22.0
2018-08-17,27.0,986.0,28.0,0,689.0,99.0,179.0,75.0,23.0
2018-08-18,22.0,976.0,36.0,0,915.0,92.0,57.0,48.0,27.0
2018-08-19,22.0,1017.0,80.0,0,377.0,37.0,249.0,45.0,28.0
2018-08-20,18.0,955.0,56.0,0,916.0,61.0,149.0,44.0,23.0
2018-08-21,22.0,958.0,68.0,0,608.0,25.0,223.0,50.0,24.0
2018-08-22,21.0,990.0,92.0,0,568.0,77.0,424.0,55.0,32.0
2018-08-23,20.0,990.0,87.0,0,824.0,2.0,361.0,51.0,28.0
2018-08-24,27.0,1042.0,80.0,1,753.0,29.0,122.0,54.0,18.0
2018-08-25,23.0,994.0,26.0,1,998.0,58.0,18.0,56.0,17.0
2018-08-26,26.0,1055.0,57.0,1,402.0,57.0,429.0,43.0,21.0
2018-08-27,31.0,1032.0,79.0,0,806.0,95.0,198.0,63.0,29.0
2018-08-28,30.0,1000.0,78.0,1,986.0,70.0,48.0,56.0,30.0
2018-08-29,16.0,909.0,35.0,1,770.0,36.0,432.0,57.0,17.0
2018-08-30,26.0,1009.0,75.0,1,519.0,93.0,126.0,62.0,21.0
2018-08-31,21.0,995.0,34.0,0,783.0,52.0,253.0,56.0,22.0
2018-09-01,24.0,966.0,61.0,1,220.0,60.0,264.0,55.0,16.0
2018-09-02,30.0,1017.0,49.0,1,103.0,13.0,151.0,55.0,20.0
2018-09-03,27.0,843.0,59.0,1,322.0,60.0,73.0,46.0,21.0
2018-09-04,24.0,1055.0,38.0,0,956.0,60.0,408.0,68.0,36.0
2018-09-05,24.0,904.0,31.0,0,931.0,1.0,266.0,42.0,20.0
2018-09-06,25.0,1031.0,61.0,1,511.0,80.0,350.0,62.0,20.0
2018-09-07,18.0,1042.0,65.0,1,745.0,67.0,425.0,53.0,18.0
2018-09-08,24.0,987.0,91.0,1,488.0,100.0,9.0,49.0,17.0
2018-09-09,31.0,1004.0,91.0,1,978.0,100.0,285.0,61.0,30.0
2018-09-10,21.0,1013.0,21.0,0,594.0,35.0,358.0,52.0,22.0
2018-09-11,25.0,920.0,37.0,1,233.0,21.0,268.0,56.0,14.0
2018-09-12,31.0,1058.0,90.0,1,860.0,35.0,483.0,49.0,28.0
2018-09-13,35.0,1030.0,22.0,0,273.0,9.0,284.0,56.0,23.0
2018-09-14,14.0,995.0,46.0,1,588.0,87.0,56.0,43.0,15.0
2018-09-15,23.0,936.0,30.0,1,804.0,97.0,47.0,66.0,26.0
2018-09-16,20.0,1011.0,34.0,0,1000.0,79.0,18.0,37.0,28.0
2018-09-17,22.0,1005.0,62.0,1,269.0,8.0,424.0,46.0,26.0
2018-09-18,31.0,994.0,27.0,0,963.0,56.0,291.0,63.0,28.0
2018-09-19,25.0,978.0,97.0,0,392.0,45.0,292.0,45.0,23.0
2018-09-20,25.0,803.0,62.0,1,114.0,41.0,32.0,57.0,14.0
2018-09-21,20.0,996.0,90.0,1,525.0,57.0,185.0,34.0,13.0
2018-09-22,31.0,921.0,93.0,1,210.0,15.0,448.0,29.0,24.0
2018-09-23,22.0,1025.0,21.0,0,206.0,28.0,91.0,56.0,14.0
2018-09-24,24.0,1008.0,60.0,1,364.0,97.0,105.0,39.0,20.0
2018-09-25,27.0,1030.0,26.0,1,174.0,46.0,77.0,45.0,19.0
2018-09-26,23.0,991.0,80.0,1,174.0,22.0,43.0,39.0,21.0
2018-09-27,26.0,1005.0,79.0,0,669.0,15.0,302.0,51.0,19.0
2018-09-28,24.0,1014.0,48.0,1,149.0,12.0,491.0,45.0,20.0
2018-09-29,24.0,1043.0,37.0,0,960.0,24.0,329.0,30.0,28.0
2018-09-30,19.0,1057.0,49.0,0,608.0,87.0,443.0,65.0,33.0
2018-10-01,33.0,882.0,69.0,1,194.0,94.0,210.0,39.0,15.0
2018-10-02,48.0,973.0,21.0,1,334.0,45.0,193.0,57.0,9.0
2018-10-03,29.0,938.0,76.0,0,338.0,50.0,317.0,57.0,19.0
2018-10-04,31.0,1097.0,47.0,0,317.0,7.0,389.0,58.0,28.0
2018-10-05,34.0,1007.0,36.0,1,671.0,4.0,437.0,63.0,16.0
2018-10-06,31.0,1035.0,97.0,0,664.0,68.0,332.0,47.0,28.0
2018-10-07,30.0,1094.0,28.0,0,237.0,2.0,294.0,49.0,21.0
2018-10-08,32.0,1022.0,66.0,0,484.0,62.0,163.0,48.0,20.0
2018-10-09,27.0,964.0,43.0,1,793.0,12.0,182.0,43.0,18.0
2018-10-10,36.0,1040.0,54.0,0,995.0,79.0,471.0,48.0,32.0
2018-10-11,25.0,1055.0,90.0,1,455.0,60.0,295.0,41.0,18.0
2018-10-12,34.0,1017.0,87.0,0,617.0,25.0,492.0,56.0,22.0
2018-10-13,29.0,1053.0,32.0,1,227.0,3.0,216.0,23.0,20.0
2018-10-14,36.0,986.0,95.0,0,439.0,61.0,370.0,69.0,15.0
2018-10-15,33.0,924.0,27.0,0,908.0,61.0,103.0,69.0,19.0
2018-10-16,33.0,987.0,44.0,1,654.0,100.0,357.0,50.0,16.0
2018-10-17,26.0,1154.0,34.0,0,435.0,73.0,115.0,52.0,29.0
2018-10-18,39.0,971.0,70.0,1,942.0,39.0,314.0,43.0,16.0
2018-10-19,32.0,1006.0,52.0,0,512.0,25.0,110.0,44.0,21.0
2018-10-20,27.0,996.0,32.0,0,334.0,62.0,210.0,52.0,18.0
2018-10-21,31.0,1013.0,56.0,1,539.0,11.0,322.0,63.0,9.0
2018-10-22,18.0,974.0,22.0,0,101.0,5.0,166.0,61.0,18.0
2018-10-23,35.0,874.0,85.0,1,780.0,51.0,328.0,72.0,13.0
2018-10-24,35.0,1074.0,32.0,1,232.0,34.0,120.0,37.0,16.0
2018-10-25,34.0,994.0,40.0,1,303.0,18.0,29.0,41.0,12.0
2018-10-26,18.0,1041.0,22.0,0,517.0,28.0,31.0,66.0,23.0
2018-10-27,18.0,926.0,97.0,0,164.0,63.0,217.0,37.0,16.0
2018-10-28,38.0,1049.0,96.0,1,815.0,76.0,438.0,55.0,29.0
2018-10-29,37.0,992.0,70.0,1,920.0,26.0,409.0,40.0,15.0
2018-10-30,31.0,1054.0,69.0,1,540.0,71.0,26.0,23.0,8.0
2018-10-31,28.0,971.0,83.0,0,902.0,51.0,377.0,65.0,25.0
2018-11-01,30.0,1034.0,98.0,0,424.0,58.0,31.0,57.0,22.0
2018-11-02,44.0,943.0,35.0,1,854.0,50.0,340.0,49.0,23.0
2018-11-03,30.0,1003.0,70.0,1,593.0,9.0,426.0,51.0,19.0
2018-11-04,34.0,872.0,68.0,1,548.0,30.0,84.0,55.0,3.0
2018-11-05,33.0,1001.0,47.0,0,477.0,20.0,223.0,48.0,20.0
2018-11-06,24.0,995.0,38.0,0,228.0,11.0,472.0,51.0,30.0
2018-11-07,32.0,1132.0,84.0,0,256.0,46.0,333.0,36.0,27.0
2018-11-08,41.0,958.0,22.0,1,221.0,12.0,477.0,55.0,21.0
2018-11-09,25.0,1004.0,86.0,1,645.0,13.0,368.0,53.0,19.0
2018-11-10,32.0,997.0,93.0,0,321.0,18.0,108.0,38.0,20.0
2018-11-11,37.0,969.0,42.0,1,664.0,3.0,419.0,57.0,5.0
2018-11-12,24.0,1010.0,85.0,0,993.0,34.0,30.0,37.0,25.0
2018-11-13,38.0,996.0,92.0,0,939.0,8.0,279.0,64.0,16.0
2018-11-14,36.0,1099.0,93.0,1,201.0,44.0,200.0,56.0,14.0
2018-11-15,28.0,980.0,22.0,0,124.0,62.0,70.0,70.0,13.0
2018-11-16,31.0,969.0,88.0,1,861.0,16.0,187.0,49.0,20.0
2018-11-17,41.0,1024.0,32.0,0,197.0,31.0,335.0,61.0,21.0
2018-11-18,26.0,1112.0,71.0,1,885.0,61.0,217.0,56.0,22.0
2018-11-19,27.0,915.0,93.0,1,667.0,44.0,250.0,54.0,21.0
2018-11-20,40.0,943.0,23.0,1,642.0,10.0,489.0,60.0,11.0
2018-11-21,26.0,989.0,95.0,1,152.0,3.0,76.0,51.0,16.0
2018-11-22,36.0,1026.0,51.0,0,366.0,4.0,122.0,67.0,15.0
2018-11-23,34.0,931.0,42.0,0,546.0,76.0,219.0,37.0,19.0
2018-11-24,35.0,1015.0,40.0,1,205.0,73.0,142.0,41.0,13.0
2018-11-25,28.0,1030.0,75.0,1,394.0,55.0,244.0,48.0,26.0
2018-11-26,28.0,1013.0,78.0,1,980.0,27.0,100.0,64.0,19.0
2018-11-27,33.0,962.0,27.0,0,538.0,96.0,377.0,43.0,28.0
2018-11-28,35.0,974.0,98.0,0,709.0,14.0,146.0,44.0,19.0
2018-11-29,24.0,1066.0,90.0,0,421.0,23.0,105.0,54.0,21.0
