tipo_prompt,herramienta,no_prompt,Procedimientos técnicos,Análisis,Actualidad,Ejemplos vigentes,Herramientas actuales,Aplicación interdisciplinaria,Secuencia,Relevancia,Terminología adecuada,Precisión,Ejemplos relevantes,Ejemplos ilustrativos
No Experto,Copilot,Prompt 3,5,4,4,4,4,3,5,5,5,5,5,4
No Experto,Copilot,Prompt 4,5,4,3,3,5,3,4,4,4,4,3,3
No Experto,Copilot,Prompt 5,4,3,3,4,4,2,5,4,4,4,4,4
No Experto,Copilot,Prompt 6,5,4,4,5,4,3,5,5,5,5,5,5
No Experto,Copilot,Prompt 7,4,4,3,4,3,2,4,4,4,4,4,3
No Experto,Copilot,Prompt 8,5,4,4,5,4,3,5,5,5,5,5,4
No Experto,Copilot,Prompt 9,4,3,4,4,3,3,4,4,4,4,4,3
No Experto,Copilot,Prompt 10,5,3,3,4,3,2,4,4,4,4,4,3
No Experto,Copilot,Prompt 11,5,4,3,4,4,3,5,5,5,5,4,4
No Experto,Copilot,Prompt 12,5,4,4,5,4,3,5,5,5,5,5,5
No Experto,Copilot,Prompt 13,5,5,4,5,5,4,5,5,5,5,5,5
No Experto,Copilot,Prompt 14,4,3,3,4,3,2,4,4,4,4,4,3
No Experto,Copilot,Prompt 15,4,3,3,4,3,2,4,4,4,4,4,3
No Experto,Copilot,Prompt 16,5,4,4,5,4,3,5,5,5,5,5,5
No Experto,Copilot,Prompt 17,5,4,4,4,4,3,5,5,5,5,4,4
No Experto,Copilot,Prompt 18,5,5,4,5,5,4,5,5,5,5,5,5
No Experto,Copilot,Prompt 19,4,3,3,4,3,2,4,4,4,4,4,3
No Experto,Copilot,Prompt 20,4,3,3,4,3,2,4,4,4,4,4,3
No Experto,Copilot,Prompt 21,5,4,4,4,4,3,5,5,5,5,4,4
No Experto,Copilot,Prompt 22,5,5,4,5,5,4,5,5,5,5,5,5
No Experto,Copilot,Prompt 23,5,4,4,4,4,3,5,5,5,5,4,4
No Experto,Copilot,Prompt 24,5,4,4,4,4,3,5,5,5,5,4,4
No Experto,Copilot,Prompt 25,5,4,4,4,4,3,5,5,5,5,4,4
No Experto,Copilot,Prompt 26,5,4,4,5,4,3,5,5,5,5,5,5
No Experto,Gemini,Prompt 1,4,4,5,5,4,3,5,5,5,5,5,5
No Experto,Gemini,Prompt 2,4,5,5,4,3,3,5,5,5,5,4,5
No Experto,Gemini,Prompt 3,5,5,5,5,4,4,5,5,5,5,5,5
No Experto,Gemini,Prompt 4,5,5,5,3,4,4,5,5,5,5,3,4
No Experto,Gemini,Prompt 5,5,4,5,5,4,4,5,5,5,5,5,5
No Experto,Gemini,Prompt 6,5,5,5,5,4,4,5,5,5,5,5,5
No Experto,Gemini,Prompt 7,5,5,5,4,4,4,5,5,5,5,4,5
No Experto,Gemini,Prompt 8,4,5,5,5,4,4,5,5,5,5,5,5
No Experto,Gemini,Prompt 9,5,5,5,5,5,5,5,5,5,5,5,5
No Experto,Gemini,Prompt 10,5,5,5,5,4,4,5,5,5,5,5,5
No Experto,Gemini,Prompt 11,4,5,5,4,3,3,5,5,5,5,4,5
No Experto,Gemini,Prompt 12,5,5,5,5,4,4,5,5,5,5,5,5
No Experto,Gemini,Prompt 13,5,5,5,5,5,5,5,5,5,5,5,5
No Experto,Gemini,Prompt 14,4,5,5,5,3,3,5,5,5,5,5,5
No Experto,Gemini,Prompt 15,4,5,5,5,3,3,5,5,5,5,5,5
No Experto,Gemini,Prompt 16,4,4,5,4,3,3,5,5,5,5,4,5
No Experto,Gemini,Prompt 17,4,5,5,4,4,4,5,5,5,5,4,5
No Experto,Gemini,Prompt 18,5,5,5,5,4,4,5,5,5,5,5,5
No Experto,Gemini,Prompt 19,4,4,5,5,4,4,5,5,5,5,5,5
No Experto,Gemini,Prompt 20,4,4,5,5,4,4,5,5,5,5,5,5
No Experto,Gemini,Prompt 21,4,5,5,4,4,4,5,5,5,5,4,5
No Experto,Gemini,Prompt 22,5,5,5,5,4,4,5,5,5,5,5,5
No Experto,Gemini,Prompt 23,5,5,5,5,4,4,5,5,5,5,5,5
No Experto,Gemini,Prompt 24,5,5,5,5,4,4,5,5,5,5,5,5
No Experto,Gemini,Prompt 25,5,5,5,5,4,4,5,5,5,5,5,5
No Experto,Gemini,Prompt 26,4,5,5,5,4,4,5,5,5,5,5,5
No Experto,Grok,Prompt 1,4,3,5,4,3,2,5,5,5,4,4,4
No Experto,Grok,Prompt 2,4,4,5,4,3,3,5,5,5,5,4,4
No Experto,Grok,Prompt 3,5,4,5,4,3,3,5,5,5,5,5,4
No Experto,Grok,Prompt 4,5,4,5,4,3,3,5,5,5,4,4,4
No Experto,Grok,Prompt 5,5,4,5,4,3,3,5,5,5,5,5,4
No Experto,Grok,Prompt 6,4,4,5,4,3,3,5,5,5,5,4,4
No Experto,Grok,Prompt 7,4,3,5,4,3,3,5,5,5,4,4,4
No Experto,Grok,Prompt 8,4,3,5,4,3,4,5,5,5,5,4,4
No Experto,Grok,Prompt 9,4,4,5,4,3,5,5,5,5,4,4,4
No Experto,Grok,Prompt 10,5,3,5,4,3,3,5,5,5,5,4,4
No Experto,Grok,Prompt 11,5,4,5,4,3,3,5,5,5,5,4,4
No Experto,Grok,Prompt 12,5,4,5,4,3,3,5,5,5,5,4,4
No Experto,Grok,Prompt 13,5,4,5,5,3,5,5,5,5,5,5,5
No Experto,Grok,Prompt 14,4,3,5,4,3,4,5,5,5,4,4,4
No Experto,Grok,Prompt 15,4,3,5,4,3,4,5,5,5,4,4,4
No Experto,Grok,Prompt 16,5,3,5,4,3,3,5,5,5,5,4,4
No Experto,Grok,Prompt 17,4,4,5,3,3,3,5,5,5,4,3,3
No Experto,Grok,Prompt 18,5,4,5,4,3,3,5,5,5,5,4,4
No Experto,Grok,Prompt 19,5,4,5,5,3,5,5,5,5,5,5,5
No Experto,Grok,Prompt 20,5,4,5,4,4,4,5,5,5,5,4,4
No Experto,Grok,Prompt 21,4,4,5,4,3,4,5,5,5,4,4,4
No Experto,Grok,Prompt 22,5,4,5,4,3,4,5,5,5,5,4,4
No Experto,Grok,Prompt 23,4,3,5,4,3,4,5,5,5,4,4,4
No Experto,Grok,Prompt 24,4,3,5,4,3,4,5,5,5,4,4,4
No Experto,Grok,Prompt 25,4,3,5,4,3,4,5,5,5,4,4,4
No Experto,Grok,Prompt 26,5,4,5,5,3,5,5,5,5,5,5,5
No Experto,Grok100,Prompt1,4,3,5,4,2,4,5,4,5,4,4,3
No Experto,Grok100,Prompt2,5,4,4,4,4,3,5,5,5,5,4,4
No Experto,Grok100,Prompt3,4,3,5,4,2,3,4,4,5,4,4,3
No Experto,Grok100,Prompt4,5,4,5,4,3,3,5,5,5,5,4,4
No Experto,Grok100,Prompt5,5,4,5,4,3,4,5,5,5,5,4,4
No Experto,Grok100,Prompt6,5,4,5,4,2,3,5,5,5,5,4,4
No Experto,Grok100,Prompt7,5,3,5,4,5,3,5,5,5,5,4,4
No Experto,Grok100,Prompt8,5,3,5,3,2,2,4,5,5,5,3,3
No Experto,Grok100,Prompt9,5,4,5,5,3,4,5,5,5,5,5,4
No Experto,Grok100,Prompt10,5,4,5,4,3,4,5,5,5,5,4,4
No Experto,Grok100,Prompt11,5,3,5,4,2,3,4,5,5,5,4,3
No Experto,Grok100,Prompt12,4,5,5,4,3,4,5,5,5,5,4,4
No Experto,Grok100,Prompt13,4,4,5,4,2,4,5,5,5,5,4,4
No Experto,Grok100,Prompt14,5,4,5,4,3,4,5,5,5,5,4,4
No Experto,Grok100,Prompt15,5,3,5,5,2,4,4,5,5,5,5,4
No Experto,Grok100,Prompt16,5,3,5,3,2,2,5,5,5,5,3,4
No Experto,Grok100,Prompt17,4,4,5,4,3,4,5,5,5,5,4,4
No Experto,Grok100,Prompt18,5,4,5,5,3,4,5,5,5,5,5,4
No Experto,Grok100,Prompt19,5,4,5,4,3,4,5,5,5,5,4,4
No Experto,Grok100,Prompt20,5,4,5,5,3,5,5,5,5,5,5,4
No Experto,Grok100,Prompt21,4,4,5,5,2,5,5,5,5,4,5,4
No Experto,Grok100,Prompt22,5,3,5,4,3,4,5,5,5,5,4,4
No Experto,Grok100,Prompt23,4,5,5,4,2,4,5,5,5,5,4,4
No Experto,Grok100,Prompt24,5,3,5,4,3,4,5,5,5,5,4,4
No Experto,Grok100,Prompt25,5,3,5,4,3,4,5,5,5,5,4,4
No Experto,Grok100,Prompt26,5,3,5,5,2,4,4,5,5,5,5,4
No Experto,Grok100,Prompt27,5,4,5,5,3,4,5,5,5,5,5,4
No Experto,Grok100,Prompt28,5,4,5,5,3,5,5,5,5,5,5,4
No Experto,Grok100,Prompt29,5,3,5,4,3,4,5,5,5,5,4,4
No Experto,Grok100,Prompt30,5,4,5,5,3,4,5,5,5,5,5,4
No Experto,Grok100,Prompt31,4,4,5,4,2,4,5,5,5,5,4,4
No Experto,Grok100,Prompt32,4,4,5,5,2,4,5,5,5,5,5,4
No Experto,Grok100,Prompt33,5,3,5,4,3,4,5,5,5,5,4,4
No Experto,Grok100,Prompt34,5,3,5,4,2,3,4,5,5,5,4,3
No Experto,Grok100,Prompt35,5,5,5,4,2,4,5,5,5,5,4,5
No Experto,Grok100,Prompt36,5,3,5,4,3,4,5,5,5,5,4,4
No Experto,Grok100,Prompt37,4,4,5,4,3,4,5,5,5,5,4,4
No Experto,Grok100,Prompt38,5,3,5,4,2,4,5,5,5,5,4,4
No Experto,Grok100,Prompt39,5,3,5,4,3,4,5,5,5,5,4,4
No Experto,Grok100,Prompt40,5,2,5,3,2,2,4,5,5,5,3,3
No Experto,Grok100,Prompt41,4,4,5,4,2,3,5,5,5,5,4,4
No Experto,Grok100,Prompt42,5,3,5,5,2,4,4,5,5,5,5,4
No Experto,Grok100,Prompt43,5,3,5,3,2,3,5,5,5,5,3,4
No Experto,Grok100,Prompt44,5,2,5,4,2,4,4,5,5,5,4,3
No Experto,Grok100,Prompt45,4,4,5,5,3,4,5,5,5,5,5,4
No Experto,Grok100,Prompt46,5,3,5,4,3,4,5,5,5,5,4,4
No Experto,Grok100,Prompt47,5,4,5,4,3,4,5,5,5,5,4,4
No Experto,Grok100,Prompt48,5,5,5,5,3,5,5,5,5,5,5,5
No Experto,Grok100,Prompt49,4,3,5,5,2,4,5,5,5,5,5,4
No Experto,Grok100,Prompt50,4,5,5,4,2,5,5,5,5,5,4,4
No Experto,Grok100,Prompt51,4,4,5,5,3,4,5,5,5,5,5,4
No Experto,Grok100,Prompt52,5,3,5,4,2,4,5,5,5,5,4,4
No Experto,Grok100,Prompt53,5,4,5,4,2,3,5,5,5,5,4,4
No Experto,Grok100,Prompt54,5,3,5,4,3,4,5,5,5,5,4,4
No Experto,Grok100,Prompt55,5,2,5,4,2,4,4,5,5,5,4,3
No Experto,Grok100,Prompt56,4,4,5,5,3,4,5,5,5,5,5,4
No Experto,Grok100,Prompt57,4,5,5,4,2,4,5,5,5,5,4,4
No Experto,Grok100,Prompt58,5,4,5,5,3,5,5,5,5,5,5,4
No Experto,Grok100,Prompt59,5,2,5,4,2,4,4,5,5,5,4,3
No Experto,Grok100,Prompt60,5,4,5,5,2,4,5,5,5,5,5,4
No Experto,Grok100,Prompt61,5,3,5,5,2,4,5,5,5,5,5,4
No Experto,Grok100,Prompt62,5,4,5,5,3,5,5,5,5,5,5,4
No Experto,Grok100,Prompt63,5,3,5,5,3,4,5,5,5,5,5,4
No Experto,Grok100,Prompt64,4,5,5,4,2,4,5,5,5,5,4,4
No Experto,Grok100,Prompt65,5,4,5,5,3,4,5,5,5,5,5,4
No Experto,Grok100,Prompt66,4,5,5,5,2,5,5,5,5,5,5,5
No Experto,Grok100,Prompt67,5,4,5,5,3,5,5,5,5,5,5,4
No Experto,Grok100,Prompt68,4,4,5,5,2,4,5,5,5,5,5,4
No Experto,Grok100,Prompt69,5,3,5,4,2,4,5,5,5,5,4,4
No Experto,Grok100,Prompt70,5,3,5,4,3,4,5,5,5,5,4,4
No Experto,Grok100,Prompt71,5,4,5,5,2,4,5,5,5,5,5,4
No Experto,Grok100,Prompt72,5,3,5,4,3,4,5,5,5,5,4,4
No Experto,Grok100,Prompt73,5,5,5,5,2,4,5,5,5,5,5,5
No Experto,Grok100,Prompt74,5,3,5,4,3,4,5,5,5,5,4,4
No Experto,Grok100,Prompt75,5,3,5,4,3,4,5,5,5,5,4,4
No Experto,Grok100,Prompt76,5,3,5,4,2,4,5,5,5,5,4,4
No Experto,Grok100,Prompt77,5,3,5,5,2,4,5,5,5,5,5,4
No Experto,Grok100,Prompt78,5,3,5,5,2,4,5,5,5,5,5,4
No Experto,Grok100,Prompt79,5,4,5,5,3,5,5,5,5,5,5,4
No Experto,Grok100,Prompt80,4,4,5,4,2,3,5,5,5,5,4,4
No Experto,Grok100,Prompt81,5,3,5,5,3,4,5,5,5,5,5,4
No Experto,Grok100,Prompt82,5,3,5,5,2,4,5,5,5,5,5,4
No Experto,Grok100,Prompt83,5,4,5,5,3,4,5,5,5,5,5,4
No Experto,Grok100,Prompt84,5,2,5,4,2,4,4,5,5,5,4,3
No Experto,Grok100,Prompt85,5,4,5,5,3,4,5,5,5,5,5,4
No Experto,Grok100,Prompt86,5,5,5,5,3,5,5,5,5,5,5,5
No Experto,Grok100,Prompt87,4,3,5,4,2,4,5,4,5,4,4,3
No Experto,Grok100,Prompt88,5,4,4,4,4,3,5,5,5,5,4,4
No Experto,Grok100,Prompt89,4,3,5,4,2,3,4,4,5,4,4,3
No Experto,Grok100,Prompt90,5,4,5,4,3,3,5,5,5,5,4,4
No Experto,Grok100,Prompt91,5,4,5,4,3,4,5,5,5,5,4,4
No Experto,Grok100,Prompt92,5,4,5,4,2,3,5,5,5,5,4,4
No Experto,Grok100,Prompt93,5,3,5,4,5,3,5,5,5,5,4,4
No Experto,Grok100,Prompt94,5,3,5,3,2,2,4,5,5,5,3,3
No Experto,Grok100,Prompt95,5,4,5,5,3,4,5,5,5,5,5,4
No Experto,Grok100,Prompt96,5,4,5,4,3,4,5,5,5,5,4,4
No Experto,Grok100,Prompt97,5,3,5,4,2,3,4,5,5,5,4,3
No Experto,Grok100,Prompt98,4,5,5,4,3,4,5,5,5,5,4,4
No Experto,Grok100,Prompt99,4,4,5,4,2,4,5,5,5,5,4,4
No Experto,Grok100,Prompt100,5,4,5,4,3,4,5,5,5,5,4,4
No Experto,Gemini100,Prompt1,4,4,3,4,3,4,4,4,4,4,4,4
No Experto,Gemini100,Prompt2,4,4,3,4,3,4,4,4,4,4,4,4
No Experto,Gemini100,Prompt3,4,4,3,3,2,3,4,4,4,4,3,4
No Experto,Gemini100,Prompt4,4,4,3,3,3,3,4,4,4,4,3,4
No Experto,Gemini100,Prompt5,4,4,3,3,3,3,4,4,4,4,3,4
No Experto,Gemini100,Prompt6,4,4,3,3,3,3,4,4,4,4,3,4
No Experto,Gemini100,Prompt7,4,4,3,3,3,3,4,4,4,4,3,4
No Experto,Gemini100,Prompt8,4,4,3,3,3,3,4,4,4,4,3,4
No Experto,Gemini100,Prompt9,4,4,3,3,3,3,4,4,4,4,3,4
No Experto,Gemini100,Prompt10,4,4,3,3,3,3,4,4,4,4,3,4
No Experto,Gemini100,Prompt11,3,3,2,2,2,2,3,3,3,3,2,3
No Experto,Gemini100,Prompt12,3,3,2,2,2,2,3,3,3,3,2,3
No Experto,Gemini100,Prompt13,4,4,3,3,3,3,4,4,4,4,3,4
No Experto,Gemini100,Prompt14,4,4,3,3,3,3,4,4,4,4,3,4
No Experto,Gemini100,Prompt15,4,4,3,3,3,3,4,4,4,4,3,4
No Experto,Gemini100,Prompt16,4,4,3,3,3,3,4,4,4,4,3,4
No Experto,Gemini100,Prompt17,4,4,3,3,3,3,4,4,4,4,3,4
No Experto,Gemini100,Prompt18,4,4,3,3,3,3,4,4,4,4,3,4
No Experto,Gemini100,Prompt19,4,4,3,3,3,3,4,4,4,4,3,4
No Experto,Gemini100,Prompt20,4,4,3,3,3,3,4,4,4,4,3,4
No Experto,Gemini100,Prompt21,3,3,2,3,2,3,3,3,3,3,3,3
No Experto,Gemini100,Prompt22,4,4,4,4,3,4,4,4,4,4,4,4
No Experto,Gemini100,Prompt23,4,4,3,3,4,3,4,4,4,4,3,4
No Experto,Gemini100,Prompt24,4,4,4,4,4,4,4,4,4,4,4,4
No Experto,Gemini100,Prompt25,4,4,3,4,3,3,4,4,4,4,4,4
No Experto,Gemini100,Prompt26,4,4,4,4,3,4,4,4,4,4,4,4
No Experto,Gemini100,Prompt27,4,4,4,4,3,4,4,4,4,4,4,4
No Experto,Gemini100,Prompt28,5,5,5,5,4,5,5,5,5,5,5,5
No Experto,Gemini100,Prompt29,4,4,4,4,3,3,4,4,4,4,4,4
No Experto,Gemini100,Prompt30,4,4,4,4,3,3,4,4,4,4,4,4
No Experto,Gemini100,Prompt31,4,4,4,4,3,4,4,4,4,4,4,4
No Experto,Gemini100,Prompt32,4,4,4,4,3,3,4,4,4,4,4,4
No Experto,Gemini100,Prompt33,4,4,4,4,3,3,4,4,4,4,4,4
No Experto,Gemini100,Prompt34,4,4,4,4,3,3,4,4,4,4,4,4
No Experto,Gemini100,Prompt35,4,4,4,4,3,3,4,4,4,4,4,4
No Experto,Gemini100,Prompt36,4,4,4,4,3,4,4,4,4,4,4,4
No Experto,Gemini100,Prompt37,4,4,4,4,3,4,4,4,4,4,4,4
No Experto,Gemini100,Prompt38,4,4,4,4,3,3,4,4,4,4,4,4
No Experto,Gemini100,Prompt39,4,4,4,4,3,4,4,4,4,4,4,4
No Experto,Gemini100,Prompt40,4,4,4,4,3,3,4,4,4,4,4,4
No Experto,Gemini100,Prompt41,4,4,4,4,3,4,4,4,4,4,4,4
No Experto,Gemini100,Prompt42,4,4,4,4,3,3,4,4,4,4,4,4
No Experto,Gemini100,Prompt43,3,3,3,3,2,3,3,3,3,3,3,3
No Experto,Gemini100,Prompt44,4,4,3,3,2,3,4,4,4,4,3,4
No Experto,Gemini100,Prompt45,3,3,3,3,2,3,3,3,3,3,3,3
No Experto,Gemini100,Prompt46,4,4,3,3,2,3,4,4,4,4,3,4
No Experto,Gemini100,Prompt47,4,4,4,4,3,4,4,4,4,4,4,4
No Experto,Gemini100,Prompt48,4,4,4,4,3,3,4,4,4,4,4,4
No Experto,Gemini100,Prompt49,5,5,5,5,4,5,5,5,5,5,5,5
No Experto,Gemini100,Prompt50,4,4,4,4,3,3,4,4,4,4,4,4
No Experto,Gemini100,Prompt51,5,5,5,5,4,5,5,5,5,5,5,5
No Experto,Gemini100,Prompt52,4,4,4,4,3,3,4,4,4,4,4,4
No Experto,Gemini100,Prompt53,5,5,5,5,4,5,5,5,5,5,5,5
No Experto,Gemini100,Prompt54,5,5,5,5,4,5,5,5,5,5,5,5
No Experto,Gemini100,Prompt55,5,5,5,5,4,5,5,5,5,5,5,5
No Experto,Gemini100,Prompt56,5,5,5,5,4,5,5,5,5,5,5,5
No Experto,Gemini100,Prompt57,5,5,5,5,4,5,5,5,5,5,5,5
No Experto,Gemini100,Prompt58,5,5,5,5,4,5,5,5,5,5,5,5
No Experto,Gemini100,Prompt59,4,4,4,4,3,4,4,4,4,4,4,4
No Experto,Gemini100,Prompt60,4,4,4,4,3,3,4,4,4,4,4,4
No Experto,Gemini100,Prompt61,5,4,4,4,3,4,4,4,5,5,4,4
No Experto,Gemini100,Prompt62,4,4,3,4,3,3,4,4,4,4,4,4
No Experto,Gemini100,Prompt63,4,4,3,3,2,3,4,4,4,4,3,4
No Experto,Gemini100,Prompt64,4,4,3,4,3,4,4,4,4,4,4,4
No Experto,Gemini100,Prompt65,5,4,4,4,3,4,4,4,5,5,4,4
No Experto,Gemini100,Prompt66,5,4,4,4,3,4,4,4,5,5,4,4
No Experto,Gemini100,Prompt67,4,4,4,4,3,3,4,4,4,4,4,4
No Experto,Gemini100,Prompt68,4,4,4,4,3,3,4,4,4,4,4,4
No Experto,Gemini100,Prompt69,4,4,4,4,4,4,4,4,4,4,4,4
No Experto,Gemini100,Prompt70,4,4,4,4,4,4,4,4,4,4,4,4
No Experto,Gemini100,Prompt71,4,4,4,4,3,4,4,4,4,4,4,4
No Experto,Gemini100,Prompt72,4,4,4,4,3,4,4,4,4,4,4,4
No Experto,Gemini100,Prompt73,4,4,4,4,3,4,4,4,4,4,4,4
No Experto,Gemini100,Prompt74,4,4,4,4,3,4,4,4,4,4,4,4
No Experto,Gemini100,Prompt75,4,4,4,4,3,3,4,4,4,4,4,4
No Experto,Gemini100,Prompt76,4,4,4,4,3,4,4,4,4,4,4,4
No Experto,Gemini100,Prompt77,4,4,4,4,4,4,4,4,4,4,4,4
No Experto,Gemini100,Prompt78,4,4,4,4,4,4,4,4,4,4,4,4
No Experto,Gemini100,Prompt79,4,4,4,4,3,4,4,4,4,4,4,4
No Experto,Gemini100,Prompt80,4,4,4,4,3,4,4,4,4,4,4,4
No Experto,Gemini100,Prompt81,4,4,4,4,3,4,4,4,4,4,4,4
No Experto,Gemini100,Prompt82,3,3,3,3,4,3,3,3,3,3,3,3
No Experto,Gemini100,Prompt83,4,4,3,4,3,4,4,4,4,4,4,4
No Experto,Gemini100,Prompt84,4,4,4,3,4,4,4,4,4,4,3,4
No Experto,Gemini100,Prompt85,4,4,4,4,3,4,4,4,4,4,4,4
No Experto,Gemini100,Prompt86,4,4,4,4,2,4,4,4,4,4,4,4
No Experto,Gemini100,Prompt87,4,4,4,4,3,4,4,4,4,4,4,4
No Experto,Gemini100,Prompt88,4,4,3,3,2,4,4,4,4,4,3,4
No Experto,Gemini100,Prompt89,4,4,3,4,2,4,4,4,4,4,4,4
No Experto,Gemini100,Prompt90,5,5,5,5,5,5,5,5,5,5,5,5
No Experto,Gemini100,Prompt91,5,5,5,5,5,5,5,5,5,5,5,5
No Experto,Gemini100,Prompt92,5,5,5,5,5,5,5,5,5,5,5,5
No Experto,Gemini100,Prompt93,5,5,5,5,5,5,5,5,5,5,5,5
No Experto,Gemini100,Prompt94,4,4,4,4,3,4,4,4,4,4,4,4
No Experto,Gemini100,Prompt95,4,4,4,4,4,4,4,4,4,4,4,4
No Experto,Gemini100,Prompt96,4,4,4,4,4,4,4,4,4,4,4,4
No Experto,Gemini100,Prompt97,4,4,4,4,4,4,4,4,4,4,4,4
No Experto,Gemini100,Prompt98,4,4,4,4,4,4,4,4,4,4,4,4
No Experto,Gemini100,Prompt99,4,4,4,4,4,4,4,4,4,4,4,4
No Experto,Gemini100,Prompt100,4,4,4,4,4,4,4,4,4,4,4,4
No Experto,Copilot100,Prompt1,5,4,5,4,5,3,5,5,5,5,4,4
No Experto,Copilot100,Prompt2,5,5,5,5,4,4,5,5,5,5,5,5
No Experto,Copilot100,Prompt3,4,4,5,3,3,3,4,4,4,4,3,3
No Experto,Copilot100,Prompt4,4,3,4,4,3,2,4,4,4,4,4,3
No Experto,Copilot100,Prompt5,5,4,5,4,5,3,5,5,5,5,4,4
