Tipo_Prenda,Género,Color,Estilo,Marca,Precio,Talla,Cantidad_Lavados,Edad,Profesión,Género_Incluyente,Calidad
Falda,Caballero,Rojo,Formal,Marca C,1614.06,36,2,26,Ingeniería,Mujer,Buena
Pantalón,Caballero,Azul,Casual,Marca D,696.14,34,15,23,Educación,HombreMujer,Mala
Falda,Caballero,Negro,Casual,Marca B,1983.28,45,10,20,Educación,Mujer,Regular
Camisa,Dama,Rojo,Formal,Marca B,653.35,34,6,20,Artes,Hombre,Mala
Pantalón,Caballero,Azul,Casual,Marca B,1627.42,34,12,28,Ciencias de la Salud,Mujer,Regular
Vestido,Caballero,Azul,Casual,Marca D,220.61,37,5,28,Ciencias Sociales y Humanidades,Hombre,Buena
Chaqueta,Caballero,Blanco,Formal,Marca B,707.2,43,9,21,Ciencias de la Salud,Mujer,Regular
Camisa,Dama,Blanco,Casual,Marca D,925.6,42,4,26,Ciencias Sociales y Humanidades,Mujer,Mala
Chaqueta,Dama,Negro,Casual,Marca A,959.58,39,9,25,Deportes,Mujer,Regular
Camisa,Caballero,Verde,Casual,Marca B,1263.94,42,17,20,Educación,Mujer,Regular
Falda,Caballero,Negro,Formal,Marca B,1314.74,43,1,27,Artes,Mujer,Mala
Pantalón,Dama,Verde,Formal,Marca A,465.33,35,7,24,Ciencias de la Salud,Hombre,Mala
Chaqueta,Dama,Blanco,Formal,Marca B,320.6,45,0,26,Deportes,HombreMujer,Mala
Falda,Dama,Rojo,Deportivo,Marca C,1162.69,43,0,27,Ciencias de la Salud,Mujer,Mala
Falda,Caballero,Rojo,Formal,Marca C,505.17,35,13,28,Ciencias de la Salud,Hombre,Buena
Pantalón,Dama,Blanco,Formal,Marca D,1621.83,36,16,22,Educación,Mujer,Regular
Chaqueta,Dama,Blanco,Casual,Marca C,1346.52,36,2,25,Ciencias de la Salud,Hombre,Buena
Pantalón,Caballero,Blanco,Deportivo,Marca D,1362.64,42,6,22,Ciencias de la Salud,HombreMujer,Mala
Pantalón,Caballero,Azul,Formal,Marca A,409.3,39,3,22,Artes,Mujer,Buena
Pantalón,Dama,Azul,Formal,Marca C,1180.57,34,3,22,Ingeniería,Mujer,Mala
Chaqueta,Dama,Negro,Formal,Marca D,510.92,43,15,26,Ciencias de la Salud,Hombre,Buena
Chaqueta,Caballero,Azul,Deportivo,Marca A,925.95,36,7,30,Artes,Hombre,Buena
Falda,Caballero,Negro,Formal,Marca D,441.48,39,1,30,Ingeniería,HombreMujer,Regular
Pantalón,Dama,Azul,Deportivo,Marca D,458.04,35,9,26,Ciencias Sociales y Humanidades,Mujer,Buena
Camisa,Dama,Rojo,Deportivo,Marca C,1920.68,36,17,21,Ciencias de la Salud,Hombre,Buena
Pantalón,Dama,Blanco,Deportivo,Marca B,1647.56,43,15,26,Ciencias Sociales y Humanidades,Hombre,Buena
Pantalón,Caballero,Negro,Casual,Marca D,487.84,43,10,28,Ingeniería,Hombre,Regular
Falda,Dama,Rojo,Deportivo,Marca C,1318.54,38,13,24,Ingeniería,HombreMujer,Buena
Vestido,Caballero,Blanco,Casual,Marca D,1478.45,42,4,24,Ciencias Sociales y Humanidades,Hombre,Regular
Vestido,Caballero,Negro,Deportivo,Marca D,590.46,32,5,23,Deportes,Mujer,Buena
Pantalón,Dama,Rojo,Formal,Marca A,411.19,41,2,30,Deportes,Hombre,Regular
Chaqueta,Dama,Blanco,Casual,Marca A,1378.77,42,18,23,Ingeniería,Mujer,Buena
Chaqueta,Caballero,Negro,Casual,Marca A,484.82,44,5,26,Educación,HombreMujer,Buena
Chaqueta,Caballero,Rojo,Casual,Marca B,1008.78,34,14,20,Ciencias de la Salud,HombreMujer,Buena
Falda,Dama,Rojo,Deportivo,Marca B,1608.67,45,3,21,Educación,Mujer,Buena
Chaqueta,Dama,Blanco,Formal,Marca D,667.91,32,17,22,Deportes,Mujer,Buena
Pantalón,Dama,Rojo,Casual,Marca C,1403.89,39,10,25,Ciencias de la Salud,HombreMujer,Regular
Falda,Caballero,Azul,Formal,Marca B,1317.03,35,17,21,Deportes,Hombre,Regular
Chaqueta,Dama,Verde,Deportivo,Marca C,290.99,35,18,28,Ciencias Sociales y Humanidades,Hombre,Regular
Pantalón,Caballero,Azul,Formal,Marca D,439.31,38,7,27,Deportes,HombreMujer,Buena
Pantalón,Caballero,Azul,Formal,Marca D,1608.84,39,19,25,Deportes,Mujer,Buena
Camisa,Dama,Azul,Formal,Marca D,1156.12,37,16,27,Deportes,HombreMujer,Buena
Chaqueta,Caballero,Rojo,Formal,Marca D,698.98,37,10,25,Artes,Mujer,Buena
Falda,Caballero,Blanco,Formal,Marca A,242.36,34,5,21,Artes,Mujer,Buena
Vestido,Dama,Negro,Formal,Marca C,1065.04,39,10,25,Ciencias de la Salud,Hombre,Buena
Vestido,Caballero,Verde,Casual,Marca B,1792.43,38,2,25,Ingeniería,HombreMujer,Buena
Vestido,Caballero,Blanco,Formal,Marca C,1803.34,42,7,29,Deportes,Hombre,Buena
Pantalón,Caballero,Blanco,Formal,Marca D,733.58,33,8,28,Educación,Mujer,Regular
Camisa,Dama,Negro,Casual,Marca D,1614.91,43,5,22,Artes,Mujer,Mala
Camisa,Dama,Azul,Deportivo,Marca C,1616.95,45,9,28,Deportes,HombreMujer,Regular
Vestido,Dama,Negro,Deportivo,Marca C,1305.13,33,14,29,Ciencias Sociales y Humanidades,Mujer,Mala
Camisa,Caballero,Rojo,Casual,Marca C,621.19,39,1,29,Ciencias de la Salud,Hombre,Buena
Pantalón,Caballero,Negro,Deportivo,Marca C,642.56,43,16,22,Ciencias Sociales y Humanidades,Mujer,Regular
Vestido,Dama,Verde,Casual,Marca B,1332.94,42,5,25,Ciencias de la Salud,Mujer,Buena
Vestido,Dama,Blanco,Casual,Marca A,568,36,1,22,Ingeniería,Hombre,Buena
Falda,Caballero,Blanco,Formal,Marca B,1898.81,41,4,21,Ciencias Sociales y Humanidades,Hombre,Regular
Falda,Caballero,Rojo,Deportivo,Marca A,451.59,35,9,20,Ingeniería,HombreMujer,Mala
Chaqueta,Dama,Verde,Deportivo,Marca B,1208.49,34,15,29,Artes,Mujer,Buena
Vestido,Dama,Blanco,Formal,Marca C,1650.98,42,1,26,Educación,Mujer,Mala
Vestido,Dama,Blanco,Casual,Marca D,1117.74,33,19,28,Artes,Mujer,Regular
Vestido,Caballero,Rojo,Formal,Marca D,1837.55,35,5,25,Ciencias Sociales y Humanidades,Hombre,Mala
Camisa,Caballero,Azul,Deportivo,Marca D,208.95,44,10,30,Ciencias de la Salud,Hombre,Mala
Pantalón,Caballero,Verde,Casual,Marca A,1855.96,44,16,22,Deportes,Hombre,Buena
Chaqueta,Dama,Rojo,Formal,Marca C,1034.76,44,18,28,Educación,Mujer,Buena
Vestido,Caballero,Blanco,Deportivo,Marca A,1465.93,35,4,26,Ciencias Sociales y Humanidades,Hombre,Mala
Chaqueta,Dama,Negro,Deportivo,Marca C,1607.23,40,6,23,Artes,Hombre,Buena
Falda,Caballero,Blanco,Casual,Marca A,1367.39,32,5,20,Artes,Hombre,Buena
Chaqueta,Dama,Blanco,Formal,Marca A,815.28,44,12,27,Deportes,Hombre,Buena
Camisa,Caballero,Verde,Formal,Marca C,556.69,41,6,28,Deportes,Mujer,Regular
Vestido,Caballero,Rojo,Casual,Marca C,1172.94,45,3,28,Ciencias Sociales y Humanidades,HombreMujer,Buena
Pantalón,Dama,Azul,Deportivo,Marca B,1352.29,44,6,25,Educación,Hombre,Regular
Falda,Caballero,Blanco,Deportivo,Marca D,1578.77,44,5,23,Ciencias de la Salud,Mujer,Buena
Chaqueta,Caballero,Azul,Formal,Marca D,1082.84,42,2,25,Educación,Hombre,Regular
Vestido,Dama,Rojo,Formal,Marca C,982.68,45,4,28,Ingeniería,Hombre,Mala
Vestido,Dama,Rojo,Deportivo,Marca B,547.63,39,15,28,Ciencias Sociales y Humanidades,Mujer,Buena
Chaqueta,Caballero,Verde,Deportivo,Marca B,987.48,45,4,24,Artes,Hombre,Mala
Falda,Dama,Blanco,Casual,Marca D,815.23,37,5,29,Deportes,HombreMujer,Regular
Pantalón,Dama,Negro,Deportivo,Marca B,1613.75,33,11,28,Artes,Mujer,Mala
Chaqueta,Dama,Negro,Casual,Marca A,1192.75,40,16,20,Ciencias Sociales y Humanidades,Hombre,Buena
Falda,Caballero,Rojo,Deportivo,Marca A,1951.87,40,17,20,Ciencias Sociales y Humanidades,Hombre,Buena
Camisa,Dama,Blanco,Formal,Marca A,1405.15,36,11,25,Ciencias Sociales y Humanidades,Mujer,Mala
Camisa,Dama,Negro,Deportivo,Marca B,226.11,38,14,27,Ciencias de la Salud,Mujer,Regular
Pantalón,Caballero,Negro,Deportivo,Marca D,1020.61,42,14,23,Deportes,Mujer,Regular
Chaqueta,Dama,Azul,Formal,Marca C,1902.67,39,17,23,Deportes,Mujer,Buena
Camisa,Dama,Azul,Deportivo,Marca D,793.99,36,15,22,Artes,Hombre,Buena
Chaqueta,Caballero,Blanco,Formal,Marca D,1633.18,41,15,22,Ingeniería,Mujer,Buena
Falda,Caballero,Blanco,Formal,Marca C,1713.31,37,11,25,Ciencias de la Salud,Mujer,Buena
Pantalón,Caballero,Rojo,Formal,Marca B,1734.96,41,19,22,Ciencias de la Salud,HombreMujer,Buena
Falda,Dama,Verde,Casual,Marca B,1693.9,45,6,30,Artes,Hombre,Regular
Pantalón,Dama,Negro,Formal,Marca D,1255.26,45,9,25,Ciencias Sociales y Humanidades,Mujer,Regular
Pantalón,Dama,Verde,Casual,Marca C,597.32,34,8,29,Ciencias Sociales y Humanidades,Mujer,Mala
Chaqueta,Caballero,Blanco,Formal,Marca B,840.43,37,13,23,Educación,Hombre,Mala
Camisa,Caballero,Azul,Casual,Marca A,1213.07,45,5,26,Educación,Mujer,Buena
Vestido,Caballero,Blanco,Formal,Marca B,973.8,36,12,22,Educación,Mujer,Regular
Camisa,Caballero,Verde,Formal,Marca C,1858.62,32,0,29,Ingeniería,HombreMujer,Buena
Chaqueta,Caballero,Rojo,Casual,Marca D,1530.23,38,2,27,Educación,Mujer,Regular
Camisa,Caballero,Negro,Casual,Marca C,1540.92,36,11,30,Ciencias Sociales y Humanidades,Mujer,Buena
Vestido,Dama,Negro,Deportivo,Marca A,809.68,34,16,26,Ciencias Sociales y Humanidades,Mujer,Regular
Camisa,Caballero,Azul,Casual,Marca C,1033.67,41,7,21,Ingeniería,Hombre,Mala
Vestido,Dama,Blanco,Casual,Marca A,1060.24,42,6,23,Educación,Hombre,Mala
Vestido,Dama,Azul,Casual,Marca C,1745.52,37,7,27,Educación,HombreMujer,Regular
Falda,Caballero,Negro,Formal,Marca D,1055.99,43,10,29,Ingeniería,Hombre,Regular
Camisa,Caballero,Azul,Casual,Marca B,1025.56,34,1,22,Deportes,Hombre,Buena
Pantalón,Caballero,Rojo,Casual,Marca D,1243.15,41,1,28,Ciencias Sociales y Humanidades,Hombre,Buena
Camisa,Dama,Rojo,Casual,Marca A,1596.15,34,4,27,Ingeniería,Mujer,Buena
Camisa,Dama,Blanco,Casual,Marca A,233.88,42,18,22,Artes,Hombre,Regular
Pantalón,Dama,Azul,Formal,Marca B,1718.27,40,11,21,Educación,Mujer,Buena
Falda,Dama,Azul,Deportivo,Marca B,755.26,44,8,24,Ciencias Sociales y Humanidades,Hombre,Buena
Falda,Caballero,Verde,Deportivo,Marca C,548.44,37,0,28,Educación,Mujer,Mala
Pantalón,Caballero,Blanco,Formal,Marca A,1475.94,45,13,29,Ingeniería,Mujer,Buena
Falda,Caballero,Blanco,Formal,Marca D,1732.71,36,0,23,Artes,Mujer,Buena
Camisa,Dama,Blanco,Deportivo,Marca B,1301.09,35,1,26,Educación,Mujer,Buena
Vestido,Caballero,Negro,Casual,Marca A,1683.59,36,16,21,Deportes,HombreMujer,Buena
Vestido,Dama,Rojo,Formal,Marca B,1094.8,41,14,26,Deportes,Hombre,Buena
Falda,Caballero,Blanco,Casual,Marca C,1775.23,44,3,21,Deportes,Mujer,Regular
Pantalón,Dama,Rojo,Casual,Marca D,1681.39,35,13,28,Ciencias de la Salud,HombreMujer,Regular
Falda,Caballero,Verde,Casual,Marca C,1802.99,41,16,28,Deportes,HombreMujer,Regular
Falda,Caballero,Azul,Deportivo,Marca A,1748.85,45,7,22,Educación,Mujer,Buena
Camisa,Caballero,Verde,Casual,Marca C,1504.55,33,16,26,Ciencias de la Salud,Mujer,Buena
Falda,Dama,Negro,Deportivo,Marca D,1400.29,34,0,25,Ciencias de la Salud,Hombre,Mala
Chaqueta,Caballero,Azul,Casual,Marca B,1841.03,40,11,25,Deportes,Mujer,Buena
Falda,Dama,Negro,Casual,Marca A,1369.2,40,2,21,Educación,HombreMujer,Mala
Camisa,Dama,Azul,Casual,Marca D,1112.45,41,15,30,Deportes,Hombre,Regular
Falda,Dama,Azul,Deportivo,Marca D,1580.5,35,1,22,Educación,Mujer,Regular
Vestido,Caballero,Rojo,Formal,Marca B,511.05,35,13,21,Educación,Mujer,Regular
Chaqueta,Caballero,Negro,Formal,Marca B,1764.85,40,18,20,Artes,Hombre,Buena
Pantalón,Dama,Negro,Formal,Marca C,1442.05,37,13,28,Educación,Hombre,Mala
Chaqueta,Caballero,Blanco,Casual,Marca A,359.4,39,16,23,Artes,Hombre,Mala
Chaqueta,Dama,Negro,Casual,Marca B,1809.53,33,11,30,Educación,Hombre,Regular
Chaqueta,Caballero,Negro,Casual,Marca A,221.8,35,12,22,Ciencias de la Salud,Hombre,Mala
Chaqueta,Caballero,Blanco,Formal,Marca C,1073.12,35,5,20,Educación,Hombre,Buena
Vestido,Dama,Blanco,Casual,Marca B,624.64,37,6,22,Educación,Mujer,Buena
Camisa,Caballero,Verde,Deportivo,Marca A,387.9,33,19,24,Ciencias Sociales y Humanidades,Hombre,Regular
Vestido,Caballero,Azul,Casual,Marca A,1964.72,43,1,30,Ingeniería,HombreMujer,Buena
Vestido,Caballero,Azul,Deportivo,Marca B,657.27,43,3,29,Educación,Hombre,Regular
Pantalón,Dama,Negro,Formal,Marca D,1679.7,34,9,30,Ciencias Sociales y Humanidades,Hombre,Mala
Falda,Dama,Negro,Deportivo,Marca B,1002.17,40,4,26,Artes,Mujer,Buena
Chaqueta,Caballero,Verde,Formal,Marca B,620.36,42,13,26,Educación,Mujer,Mala
Pantalón,Dama,Rojo,Casual,Marca A,1795.51,45,16,23,Ingeniería,HombreMujer,Buena
Falda,Dama,Blanco,Casual,Marca A,1740.91,43,3,28,Ciencias de la Salud,HombreMujer,Buena
Chaqueta,Dama,Verde,Casual,Marca B,299.77,43,14,22,Deportes,HombreMujer,Regular
Chaqueta,Dama,Negro,Casual,Marca A,1090.2,41,10,30,Artes,Mujer,Buena
Camisa,Caballero,Azul,Formal,Marca A,1890.12,43,1,29,Educación,Mujer,Regular
Vestido,Caballero,Verde,Formal,Marca C,1203.98,36,15,28,Ciencias Sociales y Humanidades,Mujer,Regular
Pantalón,Dama,Rojo,Deportivo,Marca C,1137.43,44,7,26,Educación,HombreMujer,Regular
Pantalón,Caballero,Rojo,Casual,Marca B,753.41,40,19,24,Deportes,Hombre,Buena
Falda,Caballero,Verde,Casual,Marca C,952.62,34,14,21,Deportes,Mujer,Regular
Falda,Dama,Verde,Casual,Marca C,1717.92,32,6,23,Deportes,Hombre,Regular
Chaqueta,Caballero,Verde,Casual,Marca B,872.03,41,0,21,Ciencias de la Salud,HombreMujer,Buena
Vestido,Caballero,Verde,Formal,Marca D,1317.6,38,9,21,Ingeniería,Hombre,Regular
Vestido,Caballero,Rojo,Formal,Marca D,1157.34,44,15,30,Ingeniería,Mujer,Buena
Chaqueta,Caballero,Rojo,Casual,Marca C,1624.87,41,10,21,Artes,Hombre,Regular
Camisa,Dama,Azul,Deportivo,Marca D,1468.11,35,8,28,Educación,Hombre,Buena
Falda,Dama,Azul,Casual,Marca D,455.32,35,9,22,Ciencias Sociales y Humanidades,HombreMujer,Buena
Pantalón,Caballero,Verde,Casual,Marca B,206.16,39,10,21,Artes,Mujer,Buena
Pantalón,Caballero,Verde,Deportivo,Marca A,1277.27,43,16,26,Educación,Hombre,Buena
Pantalón,Dama,Rojo,Formal,Marca C,1779.36,40,5,20,Ciencias Sociales y Humanidades,Hombre,Buena
Vestido,Caballero,Blanco,Casual,Marca B,1714.69,35,2,29,Ingeniería,Hombre,Buena
Vestido,Caballero,Negro,Deportivo,Marca C,1546.74,34,11,26,Educación,Hombre,Buena
Chaqueta,Dama,Azul,Deportivo,Marca B,793.19,41,2,26,Artes,HombreMujer,Regular
