ID_Estudiante,Fecha_Registro,Edad,Estado_Civil,Lugar_Residencia,Calificaciones,Asistencia_a_clases,Semestre_Actual,Reprobacion_Asignaturas,Horas_Estudio_Semanales,Nivel_Socioeconomico,Ingreso_Familiar_Mensual,Apoyo_Financiero,Empleo_Parcial_o_Tiempo_Completo,Red_Apoyo_Social,Participacion_Extracurricular,Relaciones_Interpersonales,Problemas_Emocionales,Adaptacion_Entorno_Escolar,Personalidad,Autoeficacia_Academica,Horas_Sueno,Condiciones_Salud,Problemas_Familiares,Dependientes_en_Hogar,Tipo_Institucion,Distancia_Centro_Estudios,Acceso_Servicios_Basicos,Desercion
23,2024-06-25,18,Soltero/a,Foráneo,87.26,91.27,5,0,12,Bajo,8097,Sí,Sí,Moderado,Alta,Regulares,Sí,Regular,Extrovertido,Media,4,Regular,No,4,Pública,26.25,No,No
24,2024-01-20,23,Soltero/a,Local,82.83,68.55,10,2,12,Medio,4016,No,No,Débil,Alta,Buenas,Sí,Regular,Extrovertido,Baja,4,Mala,Sí,0,Privada,11.57,No,No
25,2024-03-29,22,Unión Libre,Foráneo,60.83,77.13,5,4,1,Medio,7299,Sí,No,Fuerte,Baja,Buenas,Sí,Buena,Introvertido,Alta,5,Regular,No,4,Privada,17.12,Sí,Sí
26,2024-02-20,24,Soltero/a,Local,72.33,98.71,5,0,4,Alto,14834,Sí,No,Débil,Media,Buenas,No,Regular,Extrovertido,Baja,6,Regular,Sí,1,Pública,49.11,Sí,No
27,2024-05-31,22,Casado/a,Foráneo,84.55,50.07,8,1,19,Bajo,17219,No,No,Moderado,Media,Conflictivas,No,Buena,Introvertido,Alta,5,Buena,Sí,3,Pública,14.41,Sí,Sí
28,2024-01-13,21,Casado/a,Foráneo,93.13,66.96,10,2,18,Bajo,5715,Sí,Sí,Débil,Baja,Conflictivas,No,Mala,Extrovertido,Alta,10,Regular,Sí,0,Pública,4.4,No,Sí
29,2024-06-06,18,Unión Libre,Local,67.33,72.72,7,4,10,Bajo,5701,No,No,Débil,Media,Regulares,No,Regular,Introvertido,Alta,4,Buena,Sí,0,Pública,34.84,Sí,No
30,2024-01-15,19,Casado/a,Foráneo,80.47,90.8,10,2,2,Alto,17946,No,Sí,Fuerte,Media,Conflictivas,No,Regular,Introvertido,Alta,10,Buena,No,4,Privada,15.54,No,Sí
31,2024-04-09,19,Casado/a,Foráneo,66.44,90.47,2,5,18,Medio,4430,No,No,Débil,Alta,Buenas,Sí,Mala,Extrovertido,Media,4,Buena,No,2,Privada,43.82,No,Sí
32,2024-05-15,20,Unión Libre,Local,54.08,68.05,5,3,11,Medio,12447,Sí,Sí,Fuerte,Media,Buenas,No,Buena,Introvertido,Media,10,Mala,Sí,2,Privada,18.12,Sí,No
33,2024-04-07,24,Casado/a,Local,95.71,81.98,4,4,4,Medio,16122,Sí,No,Fuerte,Alta,Regulares,Sí,Mala,Introvertido,Media,10,Regular,No,1,Privada,26.06,Sí,No
34,2024-03-10,20,Casado/a,Local,87.83,58.93,1,5,18,Bajo,13771,Sí,Sí,Fuerte,Baja,Conflictivas,No,Buena,Extrovertido,Media,10,Buena,No,5,Privada,27.57,Sí,Sí
35,2024-03-10,21,Casado/a,Foráneo,58.55,55.49,8,2,7,Medio,15245,No,No,Moderado,Baja,Regulares,Sí,Buena,Extrovertido,Baja,8,Mala,Sí,3,Privada,15.56,No,Sí
36,2024-01-31,19,Unión Libre,Local,83.0,60.03,10,2,6,Alto,4899,Sí,Sí,Moderado,Media,Regulares,No,Regular,Introvertido,Media,8,Buena,No,3,Privada,11.14,Sí,No
37,2024-01-12,25,Unión Libre,Local,56.36,99.39,2,5,1,Bajo,17477,Sí,Sí,Fuerte,Media,Buenas,No,Regular,Introvertido,Alta,4,Buena,No,0,Pública,40.2,Sí,No
38,2024-03-28,22,Casado/a,Local,74.87,94.14,9,1,15,Medio,11856,Sí,Sí,Fuerte,Alta,Regulares,No,Mala,Introvertido,Baja,8,Buena,Sí,3,Pública,38.23,No,No
39,2024-06-25,18,Unión Libre,Foráneo,65.71,53.64,7,3,7,Medio,9049,No,Sí,Moderado,Baja,Buenas,Sí,Buena,Introvertido,Baja,8,Mala,Sí,2,Pública,47.52,No,No
40,2024-01-26,21,Unión Libre,Foráneo,61.68,80.34,4,1,13,Alto,12519,No,No,Débil,Media,Regulares,Sí,Regular,Introvertido,Baja,6,Mala,No,3,Pública,36.74,Sí,Sí
41,2024-06-09,22,Casado/a,Foráneo,99.28,74.4,6,1,4,Bajo,10377,Sí,No,Fuerte,Media,Buenas,Sí,Regular,Extrovertido,Alta,9,Mala,No,3,Privada,8.58,Sí,No
42,2024-03-12,19,Casado/a,Foráneo,65.58,69.36,7,3,3,Bajo,12686,Sí,Sí,Débil,Alta,Buenas,No,Buena,Introvertido,Baja,5,Mala,Sí,0,Privada,37.99,No,No
43,2024-04-30,23,Soltero/a,Local,83.06,83.02,7,3,13,Alto,5622,Sí,No,Moderado,Alta,Regulares,Sí,Buena,Introvertido,Media,5,Regular,No,2,Privada,12.78,No,No
44,2024-06-23,19,Unión Libre,Foráneo,95.2,84.91,5,1,6,Alto,19831,No,Sí,Fuerte,Media,Buenas,Sí,Mala,Introvertido,Baja,4,Buena,No,2,Privada,46.34,No,No
45,2024-03-11,21,Soltero/a,Foráneo,55.35,71.3,10,4,6,Bajo,13611,Sí,No,Débil,Baja,Regulares,Sí,Regular,Extrovertido,Media,6,Mala,No,4,Privada,26.66,No,Sí
46,2024-05-31,22,Soltero/a,Local,65.88,95.0,7,3,16,Medio,8253,No,No,Fuerte,Baja,Regulares,No,Buena,Extrovertido,Media,9,Regular,No,1,Pública,15.7,Sí,No
47,2024-03-19,18,Casado/a,Foráneo,75.55,91.99,8,0,9,Alto,17486,No,Sí,Fuerte,Baja,Regulares,Sí,Regular,Introvertido,Baja,6,Mala,No,5,Privada,27.5,No,No
48,2024-04-29,25,Unión Libre,Local,93.68,77.23,1,2,14,Medio,11172,No,No,Débil,Media,Conflictivas,No,Regular,Extrovertido,Baja,10,Mala,No,3,Privada,21.79,No,No
49,2024-01-26,21,Soltero/a,Foráneo,68.16,63.66,3,2,8,Alto,8936,No,Sí,Fuerte,Baja,Buenas,Sí,Mala,Extrovertido,Baja,9,Buena,No,1,Privada,16.91,Sí,Sí
50,2024-06-17,18,Soltero/a,Foráneo,75.15,55.06,9,0,1,Alto,18747,No,Sí,Fuerte,Alta,Buenas,Sí,Regular,Extrovertido,Alta,4,Mala,Sí,4,Privada,46.47,No,No
51,2024-05-27,19,Casado/a,Foráneo,78.87,83.03,9,4,10,Medio,13409,Sí,No,Débil,Media,Buenas,No,Regular,Introvertido,Alta,6,Regular,Sí,5,Pública,25.58,No,Sí
52,2024-04-14,20,Casado/a,Local,83.9,68.74,2,2,2,Medio,19604,Sí,Sí,Fuerte,Baja,Conflictivas,Sí,Mala,Introvertido,Media,9,Regular,Sí,3,Pública,8.33,Sí,No
53,2024-05-21,25,Soltero/a,Local,92.69,94.88,6,3,16,Alto,10901,Sí,No,Moderado,Media,Regulares,No,Mala,Extrovertido,Baja,7,Buena,No,1,Pública,44.23,No,No
54,2024-01-04,25,Soltero/a,Local,58.91,52.25,1,4,6,Bajo,19525,No,Sí,Moderado,Alta,Regulares,No,Mala,Extrovertido,Alta,8,Regular,No,5,Pública,20.95,Sí,Sí
55,2024-05-01,21,Unión Libre,Foráneo,58.95,53.08,9,0,17,Bajo,16006,No,No,Moderado,Alta,Buenas,Sí,Regular,Extrovertido,Baja,9,Buena,Sí,0,Privada,40.65,No,Sí
56,2024-04-28,25,Soltero/a,Foráneo,99.39,85.22,3,0,17,Bajo,7633,Sí,No,Moderado,Alta,Conflictivas,Sí,Buena,Introvertido,Media,4,Buena,Sí,2,Privada,5.21,Sí,No
57,2024-03-12,25,Unión Libre,Foráneo,58.67,78.77,4,2,5,Medio,8384,No,Sí,Moderado,Alta,Buenas,Sí,Regular,Introvertido,Baja,7,Buena,Sí,0,Privada,4.55,No,No
58,2024-06-07,23,Soltero/a,Local,64.28,61.86,8,1,15,Bajo,3880,Sí,Sí,Fuerte,Media,Conflictivas,Sí,Buena,Introvertido,Alta,5,Buena,No,3,Privada,39.84,No,Sí
59,2024-06-13,18,Unión Libre,Foráneo,59.94,53.5,9,0,6,Medio,16302,Sí,No,Fuerte,Media,Regulares,Sí,Mala,Introvertido,Alta,9,Mala,No,0,Privada,18.6,Sí,Sí
60,2024-03-19,20,Unión Libre,Foráneo,84.94,85.44,7,2,2,Medio,11699,No,No,Débil,Alta,Regulares,Sí,Buena,Extrovertido,Media,5,Buena,Sí,4,Pública,38.64,No,No
61,2024-05-22,23,Soltero/a,Foráneo,72.18,87.63,8,1,16,Medio,6776,Sí,No,Débil,Alta,Regulares,Sí,Regular,Introvertido,Baja,6,Buena,Sí,4,Privada,8.78,Sí,No
62,2024-06-22,18,Casado/a,Local,55.88,52.8,3,5,19,Bajo,12862,Sí,Sí,Moderado,Alta,Buenas,Sí,Regular,Extrovertido,Baja,7,Mala,No,5,Pública,33.62,Sí,Sí
63,2024-03-04,20,Casado/a,Foráneo,77.75,70.03,8,3,4,Alto,18794,No,Sí,Fuerte,Alta,Conflictivas,No,Mala,Introvertido,Baja,6,Mala,Sí,2,Pública,18.89,No,No
64,2024-04-28,21,Casado/a,Foráneo,78.66,92.43,8,2,3,Alto,15219,Sí,No,Fuerte,Baja,Conflictivas,Sí,Buena,Introvertido,Media,8,Mala,No,1,Privada,10.68,No,Sí
65,2024-02-19,21,Soltero/a,Foráneo,86.01,99.06,8,3,13,Alto,15396,Sí,Sí,Moderado,Alta,Conflictivas,Sí,Mala,Introvertido,Alta,4,Mala,No,2,Privada,39.23,Sí,Sí
66,2024-02-12,20,Casado/a,Foráneo,78.85,66.04,6,5,5,Alto,15220,No,No,Débil,Baja,Conflictivas,No,Buena,Extrovertido,Alta,4,Mala,Sí,4,Pública,36.85,Sí,No
67,2024-01-07,23,Unión Libre,Foráneo,91.13,52.71,7,5,14,Medio,18038,No,Sí,Débil,Alta,Conflictivas,No,Regular,Extrovertido,Media,9,Buena,Sí,5,Privada,15.76,Sí,Sí
68,2024-01-29,19,Soltero/a,Local,65.91,62.24,6,1,10,Medio,18938,Sí,Sí,Moderado,Media,Regulares,Sí,Mala,Extrovertido,Baja,9,Buena,No,2,Pública,27.67,No,No
69,2024-05-20,21,Soltero/a,Local,90.33,95.82,1,1,11,Medio,3473,No,Sí,Débil,Baja,Conflictivas,No,Regular,Introvertido,Baja,7,Buena,Sí,5,Privada,9.36,No,Sí
70,2024-01-29,20,Soltero/a,Foráneo,65.42,97.92,2,4,15,Medio,19767,No,Sí,Fuerte,Alta,Conflictivas,Sí,Regular,Introvertido,Media,10,Regular,No,4,Privada,10.77,No,No
71,2024-02-09,21,Casado/a,Local,58.34,86.0,3,5,3,Medio,12723,Sí,No,Fuerte,Baja,Buenas,Sí,Regular,Introvertido,Alta,4,Mala,No,0,Privada,35.37,Sí,No
72,2024-01-23,22,Unión Libre,Local,90.11,78.8,9,3,6,Alto,5552,No,Sí,Moderado,Media,Regulares,No,Buena,Introvertido,Media,8,Mala,No,3,Pública,28.18,No,No
73,2024-06-07,21,Soltero/a,Foráneo,86.78,77.68,4,1,3,Alto,17895,No,Sí,Fuerte,Media,Buenas,Sí,Buena,Introvertido,Alta,5,Regular,No,2,Pública,3.84,No,Sí
74,2024-03-22,18,Unión Libre,Local,66.73,54.62,1,0,20,Bajo,13116,No,No,Moderado,Baja,Regulares,No,Regular,Extrovertido,Alta,4,Mala,No,4,Pública,39.52,Sí,Sí
75,2024-01-15,25,Casado/a,Foráneo,70.39,92.24,7,4,8,Medio,16419,Sí,Sí,Débil,Media,Conflictivas,Sí,Mala,Extrovertido,Alta,6,Buena,No,5,Privada,45.99,No,No
76,2024-05-27,20,Casado/a,Local,66.91,65.16,1,5,17,Bajo,18062,No,No,Fuerte,Media,Conflictivas,Sí,Buena,Introvertido,Baja,9,Buena,Sí,5,Pública,48.26,Sí,No
77,2024-01-15,24,Unión Libre,Local,69.57,86.08,3,0,12,Bajo,18607,Sí,No,Débil,Baja,Buenas,No,Buena,Introvertido,Media,5,Buena,No,0,Pública,39.08,Sí,No
78,2024-02-28,22,Unión Libre,Local,68.6,96.11,3,0,5,Medio,15720,Sí,Sí,Fuerte,Media,Regulares,No,Mala,Introvertido,Alta,10,Buena,No,3,Pública,2.93,Sí,Sí
79,2024-04-22,22,Unión Libre,Foráneo,87.06,73.38,5,4,15,Alto,6312,Sí,Sí,Débil,Baja,Regulares,No,Buena,Extrovertido,Alta,7,Mala,No,5,Pública,36.06,Sí,No
80,2024-01-10,19,Soltero/a,Local,81.04,92.19,5,3,4,Bajo,3795,No,Sí,Débil,Baja,Regulares,Sí,Regular,Extrovertido,Media,7,Regular,Sí,0,Privada,12.27,No,Sí
81,2024-01-22,19,Soltero/a,Local,70.24,61.78,5,1,3,Alto,19666,No,No,Débil,Media,Regulares,No,Regular,Extrovertido,Media,5,Mala,Sí,5,Privada,34.41,Sí,No
82,2024-01-12,19,Soltero/a,Foráneo,68.96,84.02,10,1,8,Medio,5514,Sí,No,Fuerte,Media,Conflictivas,Sí,Mala,Extrovertido,Alta,8,Regular,Sí,2,Pública,22.3,Sí,No
83,2024-06-21,24,Unión Libre,Foráneo,95.88,69.4,9,3,7,Medio,18864,No,No,Débil,Alta,Regulares,Sí,Regular,Extrovertido,Media,6,Buena,No,2,Privada,43.78,No,No
84,2024-05-09,21,Casado/a,Local,91.44,60.44,6,5,19,Bajo,4899,Sí,Sí,Moderado,Baja,Conflictivas,No,Regular,Extrovertido,Media,8,Buena,No,3,Privada,17.93,No,Sí
85,2024-05-08,21,Casado/a,Local,60.16,82.89,5,5,12,Bajo,9106,Sí,Sí,Moderado,Media,Buenas,Sí,Mala,Introvertido,Alta,6,Mala,Sí,4,Privada,12.58,No,Sí
86,2024-03-29,22,Casado/a,Local,51.63,94.49,1,4,19,Bajo,16147,Sí,No,Débil,Alta,Regulares,No,Buena,Extrovertido,Baja,6,Mala,No,3,Privada,24.24,Sí,Sí
87,2024-04-12,20,Casado/a,Foráneo,53.45,98.97,2,1,12,Bajo,17120,No,No,Débil,Baja,Conflictivas,Sí,Buena,Introvertido,Media,10,Regular,No,4,Privada,36.07,Sí,No
88,2024-05-17,22,Casado/a,Local,97.3,75.93,6,3,14,Alto,17560,No,No,Fuerte,Baja,Regulares,No,Buena,Introvertido,Baja,4,Mala,Sí,5,Pública,30.51,No,No
89,2024-05-07,18,Unión Libre,Foráneo,77.11,63.31,7,5,19,Alto,5998,No,No,Débil,Alta,Buenas,No,Buena,Extrovertido,Baja,5,Buena,No,1,Privada,40.82,No,Sí
90,2024-06-28,25,Soltero/a,Foráneo,82.16,93.42,6,0,7,Bajo,5621,Sí,No,Fuerte,Baja,Buenas,No,Regular,Extrovertido,Baja,4,Buena,No,1,Pública,33.8,Sí,Sí
91,2024-04-05,23,Casado/a,Local,80.18,86.32,5,5,11,Medio,10060,No,Sí,Moderado,Baja,Conflictivas,No,Regular,Introvertido,Media,10,Buena,Sí,1,Pública,19.06,No,Sí
92,2024-05-11,18,Casado/a,Foráneo,61.33,56.55,10,0,15,Bajo,18955,No,No,Débil,Alta,Buenas,Sí,Mala,Introvertido,Alta,6,Buena,Sí,3,Pública,40.24,No,Sí
93,2024-01-02,23,Casado/a,Foráneo,94.97,88.04,7,5,10,Bajo,14297,Sí,Sí,Débil,Alta,Conflictivas,Sí,Mala,Extrovertido,Alta,4,Mala,Sí,4,Pública,27.63,Sí,Sí
94,2024-03-07,25,Unión Libre,Local,93.36,83.41,9,3,15,Medio,9572,Sí,No,Moderado,Media,Regulares,No,Mala,Introvertido,Baja,9,Buena,No,2,Pública,10.75,No,No
95,2024-04-01,25,Casado/a,Local,93.37,81.48,7,1,18,Alto,10350,No,Sí,Moderado,Alta,Regulares,Sí,Regular,Extrovertido,Alta,4,Buena,No,0,Privada,19.57,Sí,Sí
96,2024-03-26,23,Soltero/a,Local,64.76,50.35,6,4,15,Alto,3440,No,No,Débil,Alta,Regulares,Sí,Mala,Extrovertido,Baja,8,Regular,No,4,Privada,7.3,No,Sí
97,2024-01-17,20,Unión Libre,Local,57.01,85.84,4,3,1,Alto,14074,Sí,No,Débil,Baja,Buenas,No,Buena,Introvertido,Baja,10,Regular,Sí,2,Privada,46.44,No,No
98,2024-05-21,19,Casado/a,Local,93.47,90.08,3,0,14,Bajo,5993,Sí,Sí,Débil,Baja,Buenas,Sí,Buena,Introvertido,Alta,9,Mala,No,2,Pública,17.41,Sí,No
99,2024-06-19,21,Casado/a,Local,77.69,97.71,7,3,13,Medio,15808,No,Sí,Débil,Media,Conflictivas,Sí,Buena,Introvertido,Alta,6,Regular,Sí,5,Privada,10.9,No,No
100,2024-05-20,24,Unión Libre,Local,56.03,62.0,7,0,7,Alto,5692,Sí,Sí,Moderado,Baja,Conflictivas,Sí,Regular,Extrovertido,Baja,4,Mala,No,4,Privada,33.45,No,Sí
101,2024-04-20,24,Casado/a,Local,88.69,99.77,1,5,6,Bajo,3348,Sí,Sí,Fuerte,Media,Regulares,No,Regular,Extrovertido,Baja,8,Regular,No,4,Privada,46.49,No,Sí
102,2024-03-03,23,Soltero/a,Foráneo,78.0,80.25,6,4,9,Alto,14016,No,No,Moderado,Alta,Buenas,Sí,Mala,Extrovertido,Media,10,Buena,No,5,Privada,24.87,Sí,Sí
103,2024-05-16,23,Soltero/a,Local,77.75,62.27,2,2,12,Bajo,8431,Sí,Sí,Débil,Alta,Buenas,Sí,Regular,Introvertido,Baja,5,Regular,No,5,Privada,49.2,Sí,Sí
104,2024-04-11,22,Casado/a,Foráneo,93.16,65.75,7,2,19,Bajo,14699,No,No,Fuerte,Media,Regulares,Sí,Buena,Introvertido,Media,4,Buena,No,4,Pública,37.36,No,Sí
105,2024-06-05,20,Unión Libre,Foráneo,86.24,86.12,4,0,9,Alto,7160,No,No,Débil,Baja,Regulares,No,Buena,Extrovertido,Baja,8,Regular,Sí,3,Pública,41.54,No,No
106,2024-04-15,20,Unión Libre,Local,66.13,78.72,8,5,5,Bajo,6607,No,No,Fuerte,Baja,Regulares,Sí,Regular,Introvertido,Media,4,Regular,No,0,Privada,39.99,Sí,No
107,2024-01-18,20,Casado/a,Foráneo,93.64,72.92,6,2,2,Alto,11888,No,No,Débil,Alta,Conflictivas,No,Regular,Introvertido,Alta,5,Regular,Sí,3,Privada,12.88,No,No
108,2024-06-20,23,Soltero/a,Foráneo,58.56,60.16,1,0,19,Bajo,11253,Sí,Sí,Moderado,Alta,Buenas,Sí,Mala,Introvertido,Baja,5,Regular,No,1,Pública,14.58,No,No
109,2024-01-22,24,Casado/a,Foráneo,80.71,75.32,10,3,7,Alto,7950,No,Sí,Débil,Alta,Regulares,Sí,Mala,Introvertido,Baja,5,Mala,Sí,2,Privada,25.68,No,Sí
110,2024-04-11,25,Unión Libre,Local,54.95,52.55,4,0,4,Bajo,13351,Sí,No,Fuerte,Alta,Buenas,Sí,Regular,Extrovertido,Media,8,Buena,No,2,Privada,13.74,No,No
111,2024-01-14,24,Unión Libre,Local,69.04,76.45,10,4,6,Bajo,4962,No,No,Fuerte,Media,Regulares,No,Buena,Extrovertido,Alta,4,Buena,Sí,5,Privada,47.09,Sí,No
112,2024-02-09,20,Casado/a,Local,72.83,67.8,5,4,7,Bajo,5532,No,No,Moderado,Alta,Buenas,Sí,Regular,Introvertido,Baja,7,Mala,Sí,1,Privada,47.75,Sí,No
113,2024-05-22,24,Soltero/a,Local,84.32,57.04,7,2,16,Alto,10418,No,No,Moderado,Media,Buenas,No,Regular,Extrovertido,Baja,6,Regular,No,4,Privada,7.96,Sí,No
114,2024-03-11,21,Unión Libre,Foráneo,52.86,79.47,4,0,2,Alto,16972,No,Sí,Fuerte,Alta,Buenas,No,Regular,Introvertido,Alta,8,Mala,Sí,2,Pública,27.1,No,No
115,2024-04-25,21,Casado/a,Foráneo,52.5,74.93,8,0,3,Alto,7831,No,Sí,Moderado,Media,Buenas,Sí,Buena,Introvertido,Baja,5,Regular,Sí,4,Pública,27.98,No,Sí
116,2024-01-08,25,Soltero/a,Local,87.51,70.15,1,1,14,Alto,10583,Sí,No,Fuerte,Alta,Regulares,Sí,Regular,Introvertido,Baja,7,Mala,Sí,1,Pública,13.02,No,No
117,2024-03-30,21,Soltero/a,Foráneo,83.05,76.14,8,3,12,Medio,18220,No,No,Fuerte,Media,Regulares,Sí,Mala,Extrovertido,Baja,4,Buena,No,4,Privada,9.11,No,Sí
118,2024-06-25,18,Casado/a,Foráneo,55.91,58.06,5,5,2,Bajo,6836,No,No,Fuerte,Alta,Regulares,No,Mala,Introvertido,Alta,4,Mala,Sí,2,Pública,39.44,No,Sí
119,2024-01-23,20,Casado/a,Foráneo,87.64,81.42,10,1,20,Alto,5192,No,Sí,Fuerte,Media,Buenas,No,Regular,Extrovertido,Media,6,Regular,Sí,0,Pública,39.11,No,No
120,2024-06-08,25,Soltero/a,Foráneo,61.01,72.63,7,5,3,Alto,4636,No,No,Débil,Media,Buenas,Sí,Mala,Extrovertido,Media,7,Buena,No,5,Pública,25.66,No,Sí
121,2024-01-24,18,Soltero/a,Foráneo,54.16,57.97,10,3,7,Medio,3851,No,Sí,Débil,Media,Regulares,No,Regular,Extrovertido,Baja,10,Mala,No,5,Privada,27.2,Sí,Sí
122,2024-06-02,20,Soltero/a,Local,53.79,56.77,2,2,12,Medio,11509,No,No,Fuerte,Media,Conflictivas,Sí,Mala,Introvertido,Media,5,Mala,No,5,Privada,37.29,No,Sí
123,2024-04-08,20,Unión Libre,Foráneo,78.69,53.71,4,4,8,Medio,10725,Sí,Sí,Débil,Media,Conflictivas,No,Buena,Extrovertido,Baja,7,Regular,No,2,Privada,4.86,No,No
124,2024-06-22,24,Unión Libre,Foráneo,95.38,85.94,5,4,2,Alto,5174,Sí,No,Moderado,Baja,Buenas,No,Buena,Extrovertido,Alta,8,Buena,Sí,0,Privada,32.47,Sí,Sí
125,2024-04-08,18,Casado/a,Local,53.56,66.01,7,3,14,Alto,6607,Sí,No,Fuerte,Baja,Buenas,No,Buena,Introvertido,Baja,4,Mala,Sí,2,Pública,40.21,No,Sí
126,2024-02-19,25,Soltero/a,Local,55.28,61.9,5,4,14,Alto,15869,Sí,No,Moderado,Alta,Regulares,No,Mala,Introvertido,Baja,7,Mala,No,1,Privada,10.15,No,Sí
